touriste,tourist
en ville,in the city
cette semaine,this week
le client,the customer
complet,full
le congrès,the congress
francophone,French-speaking
poser des questions,ask questions
plein de,lots of
le réceptionniste,the receptionist
débordé,overwhelmed
ils peuvent,they can
pouvoir,can
répondre,answer
qui va où ?,who goes where?
canadien,Canadian
le parc,park
prenez !,take!
prendre,to take
une église,a church
tout droit,straight ahead
le mètre,meter
à 200 mètres,after 200 meters
Sénégalais,Senegalese
mon Dieu,my God
hôpital,hospital
pas encore,not yet
la pharmacie,the pharmacy
à gauche,to the left
en face de,opposite
hôtel de ville,town hall
le commissariat de police,police station
le portefeuille,wallet
y,there
aller à pied,go on foot
Belge,Belgian
plus loin,further away
traverser,cross
à droite,to the right
Suisse,Swiss
chercher,look for
le guichet,ATM
facile,easy
derrière,behind
le couple,the couple
en panne,broken
le garage,garage
à côté de,next to
tant pis,never mind
bien sûr,of course
pas de problème,no problem
nous pouvons,we can
quelques,some
le site touristique,tourist attraction
